,TICKER,EST_DATE,MEASURE,FPI,MEANEST,ACT_DATE,ACTUAL
2900,NFLX,20170216,EPS,2,1.98,20181231,2.68
3020,NFLX,20170216,EPS,5,7.29,20211231,11.24
2854,NFLX,20170316,EPS,1,1.11,20171231,1.25
2901,NFLX,20170316,EPS,2,1.99,20181231,2.68
3021,NFLX,20170316,EPS,5,6.71,20211231,11.24
2855,NFLX,20170420,EPS,1,1.05,20171231,1.25
2902,NFLX,20170420,EPS,2,1.91,20181231,2.68
3022,NFLX,20170420,EPS,5,6.79,20211231,11.24
2856,NFLX,20170518,EPS,1,1.04,20171231,1.25
2903,NFLX,20170518,EPS,2,1.92,20181231,2.68
3023,NFLX,20170518,EPS,5,6.82,20211231,11.24
2857,NFLX,20170615,EPS,1,1.04,20171231,1.25
2904,NFLX,20170615,EPS,2,1.92,20181231,2.68
3024,NFLX,20170615,EPS,5,6.94,20211231,11.24
2858,NFLX,20170720,EPS,1,1.16,20171231,1.25
2905,NFLX,20170720,EPS,2,1.99,20181231,2.68
3025,NFLX,20170720,EPS,5,7.01,20211231,11.24
2859,NFLX,20170817,EPS,1,1.17,20171231,1.25
2906,NFLX,20170817,EPS,2,2.01,20181231,2.68
3026,NFLX,20170817,EPS,5,7.38,20211231,11.24
2860,NFLX,20170914,EPS,1,1.17,20171231,1.25
2907,NFLX,20170914,EPS,2,2.02,20181231,2.68
3027,NFLX,20170914,EPS,5,7.38,20211231,11.24
2861,NFLX,20171019,EPS,1,1.25,20171231,1.25
2908,NFLX,20171019,EPS,2,2.25,20181231,2.68
3028,NFLX,20171019,EPS,5,8.18,20211231,11.24
2862,NFLX,20171116,EPS,1,1.25,20171231,1.25
2909,NFLX,20171116,EPS,2,2.26,20181231,2.68
3029,NFLX,20171116,EPS,5,8.18,20211231,11.24
2863,NFLX,20171214,EPS,1,1.25,20171231,1.25
2910,NFLX,20171214,EPS,2,2.26,20181231,2.68
3030,NFLX,20171214,EPS,5,8.35,20211231,11.24
2864,NFLX,20180118,EPS,1,1.25,20171231,1.25
2911,NFLX,20180118,EPS,2,2.3,20181231,2.68
3031,NFLX,20180118,EPS,5,8.38,20211231,11.24
2888,NFLX,20180215,EPS,1,2.71,20181231,2.68
2937,NFLX,20180215,EPS,2,4.23,20191231,4.13
2889,NFLX,20180315,EPS,1,2.72,20181231,2.68
2938,NFLX,20180315,EPS,2,4.2,20191231,4.13
2890,NFLX,20180419,EPS,1,2.84,20181231,2.68
2939,NFLX,20180419,EPS,2,4.58,20191231,4.13
2891,NFLX,20180517,EPS,1,2.85,20181231,2.68
2940,NFLX,20180517,EPS,2,4.59,20191231,4.13
2892,NFLX,20180614,EPS,1,2.86,20181231,2.68
2941,NFLX,20180614,EPS,2,4.58,20191231,4.13
2893,NFLX,20180719,EPS,1,2.71,20181231,2.68
2942,NFLX,20180719,EPS,2,4.37,20191231,4.13
2894,NFLX,20180816,EPS,1,2.69,20181231,2.68
2943,NFLX,20180816,EPS,2,4.37,20191231,4.13
2895,NFLX,20180920,EPS,1,2.69,20181231,2.68
2944,NFLX,20180920,EPS,2,4.39,20191231,4.13
2896,NFLX,20181018,EPS,1,2.67,20181231,2.68
2945,NFLX,20181018,EPS,2,4.17,20191231,4.13
2897,NFLX,20181115,EPS,1,2.66,20181231,2.68
2946,NFLX,20181115,EPS,2,4.2,20191231,4.13
2898,NFLX,20181220,EPS,1,2.66,20181231,2.68
2947,NFLX,20181220,EPS,2,4.17,20191231,4.13
2924,NFLX,20190117,EPS,1,4.13,20191231,4.13
2972,NFLX,20190117,EPS,2,6.78,20201231,6.08
2925,NFLX,20190214,EPS,1,4.05,20191231,4.13
